County,Election_Date,Precinct,Contest_Group_ID,Contest_Type,Contest_Name,Choice,Choice_Party,Vote_For,Election_Day,One_Stop,Absentee_by_Mail,Provisional,Total_Votes
GUILFORD,2016-11-08,H25,1001,S,US PRESIDENT,Hillary Clinton,DEM,1,221,789,29,0,1039
GUILFORD,2016-11-08,SCLAY,1001,S,US PRESIDENT,Hillary Clinton,DEM,1,104,161,15,0,280
GUILFORD,2016-11-08,NDRI,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,H19A,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G67,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,GIB,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G34,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G36,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G37,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G39,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G64,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,NCLAY2,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,SF2,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,SDRI,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G61,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,H04,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,JAM2,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,NCGR1,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,FR3,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G18,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G41B,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,FR2,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G42A,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,H03,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,H08,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G72,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G71,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G21,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G24,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,G06,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,RC1,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,JEF2,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,SUM3,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,SUM4,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,H26,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,H15,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
GUILFORD,2016-11-08,H12,1001,S,US PRESIDENT,Jill Stein (Write-In),,1,0,0,0,0,0
