"county_id","precinct_desc","party_cd","Voted","N"
32,"23","REP",FALSE,159
32,"35.3","LIB",FALSE,12
32,"36","LIB",FALSE,6
32,"5","LIB",FALSE,38
32,"20","REP",FALSE,34
32,"2","LIB",FALSE,19
32,"46","LIB",FALSE,8
32,"13","REP",FALSE,23
32,"6","REP",FALSE,48
32,"12","REP",FALSE,19
32,"13","LIB",FALSE,2
32,"31","LIB",FALSE,9
32,"21","LIB",FALSE,2
32,"33","LIB",FALSE,20
32,"55-49","REP",FALSE,19
32,"10","REP",FALSE,24
32,"52","REP",FALSE,58
32,"55-49","LIB",FALSE,8
32,"15","LIB",FALSE,6
32,"9","REP",FALSE,48
32,"23","LIB",FALSE,8
32,"32","LIB",FALSE,7
32,"54","LIB",FALSE,19
32,"45","LIB",FALSE,10
32,"20","LIB",FALSE,6
32,"22","LIB",FALSE,7
32,"42","LIB",FALSE,1
32,"37","LIB",FALSE,10
32,"47","LIB",FALSE,1
32,"14","LIB",FALSE,4
32,"24","LIB",FALSE,3
32,"39","LIB",FALSE,2
32,"30-1","LIB",FALSE,9
32,"30-2","LIB",FALSE,8
32,"44","LIB",FALSE,9
32,"40","LIB",FALSE,1
32,"41","REP",FALSE,17
32,"8","LIB",FALSE,2
32,"6","LIB",FALSE,3
32,"25","LIB",FALSE,4
32,"10","LIB",FALSE,1
32,"29","LIB",FALSE,10
32,"28","LIB",FALSE,5
32,"34-1","LIB",FALSE,5
32,"16","LIB",FALSE,4
32,"9","LIB",FALSE,1
32,"1","LIB",FALSE,5
32,"7","LIB",FALSE,3
32,"53-1","LIB",FALSE,7
32,"53-2","LIB",FALSE,8
32,"19","LIB",FALSE,1
32,"12","LIB",FALSE,1
32,"48","LIB",FALSE,1
32,"4","LIB",FALSE,1
32,"41","LIB",FALSE,1
32,"44","UNA",TRUE,1486
32,"42","DEM",TRUE,817
32,"29","DEM",TRUE,1900
32,"44","REP",TRUE,1384
32,"2","DEM",TRUE,1349
32,"54","DEM",TRUE,3150
32,"23","DEM",TRUE,3276
32,"29","UNA",TRUE,691
32,"53-1","DEM",TRUE,1186
32,"33","UNA",TRUE,1833
32,"22","REP",TRUE,132
32,"34-1","UNA",TRUE,608
32,"51","DEM",TRUE,2375
32,"50","REP",TRUE,456
32,"48","REP",TRUE,174
32,"25","UNA",TRUE,743
32,"25","DEM",TRUE,1068
32,"44","DEM",TRUE,2437
32,"32","REP",TRUE,996
32,"35.3","UNA",TRUE,2259
32,"37","DEM",TRUE,1917
32,"5","UNA",TRUE,1671
32,"43","DEM",TRUE,2824
32,"9","REP",TRUE,199
32,"PRECINCT 05-07","DEM",TRUE,1
32,"35.3","DEM",TRUE,3530
32,"43","UNA",TRUE,1640
32,"24","UNA",TRUE,779
32,"30-1","UNA",TRUE,1823
32,"53-1","UNA",TRUE,953
32,"22","DEM",TRUE,2758
32,"53-2","REP",TRUE,529
32,"OWASA","REP",TRUE,2
32,"28","REP",TRUE,937
32,"45","DEM",TRUE,2062
32,"42","UNA",TRUE,133
32,"13","DEM",TRUE,685
32,"35.3","REP",TRUE,1087
32,"38","DEM",TRUE,2534
32,"31","REP",TRUE,550
32,"30-2","REP",TRUE,489
32,"34-2","DEM",TRUE,2811
32,"50","DEM",TRUE,1603
32,"52","UNA",TRUE,384
32,"4","UNA",TRUE,420
32,"37","UNA",TRUE,1254
32,"23","UNA",TRUE,888
32,"34-2","UNA",TRUE,1067
32,"51","UNA",TRUE,1586
32,"31","DEM",TRUE,1739
32,"22","UNA",TRUE,649
32,"31","UNA",TRUE,998
32,"30-2","DEM",TRUE,3749
32,"8","DEM",TRUE,1246
32,"41","DEM",TRUE,964
32,"24","REP",TRUE,569
32,"51","REP",TRUE,552
32,"28","DEM",TRUE,1018
32,"19","DEM",TRUE,1638
32,"33","DEM",TRUE,2719
32,"23","LIB",TRUE,7
32,"40","DEM",TRUE,1048
32,"30-2","UNA",TRUE,1191
32,"19","REP",TRUE,140
32,"39","UNA",TRUE,887
32,"36","UNA",TRUE,666
32,"38","UNA",TRUE,1613
32,"7","UNA",TRUE,643
32,"14","DEM",TRUE,1120
